County,Batteries,CoalIntegratedGasificationCombinedCycle,ConventionalHydroelectric,ConventionalSteamCoal,Flywheels,Geothermal,HydroelectricPumpedStorage,LandfillGas,MunicipalSolidWaste,NaturalGasFiredCombinedCycle,NaturalGasFiredCombustionTurbine,NaturalGasInternalCombustionEngine,NaturalGasSteamTurbine,NaturalGaswithCompressedAirStorage,Nuclear,OffshoreWindTurbine,OnshoreWindTurbine,OtherGases,OtherNaturalGas,OtherWasteBiomass,PetroleumCoke,PetroleumLiquids,SolarPhotovoltaic,SolarThermalwithEnergyStorage,SolarThermalwithoutEnergyStorage,Wood/WoodWasteBiomass
Chatham,0,0,4,0,0,0,0,8,0,0,0,0,5,0,0,0,0,0,0,0,0,1,10,0,0,3
Chattahoochee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Chautauqua,0,0,0,4,0,0,0,6,0,0,1,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0
Chaves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0
Cheboygan,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Chelan,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chemung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Cherokee,0,0,17,0,0,0,1,0,0,4,15,0,2,0,0,0,1,0,0,0,0,5,4,0,0,0
Cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChesapeakeCity,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0
Chester,0,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0
Chesterfield,0,0,1,2,0,0,0,48,0,4,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
Cheyenne,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,6,0,0,0,0
Chickasaw,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0
Chicot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Childress,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Chilton,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chippewa,0,0,103,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,7,16,0,0,0
Chisago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,49,0,0,0
Chittenden,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,11,0,0,1
Choctaw,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Chowan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0
Christian,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Churchill,0,0,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Cibola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Citrus,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clackamas,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
Claiborne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Clallam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Clare,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clarendon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Clarion,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clark,1,0,11,0,0,0,1,2,0,47,29,5,0,0,0,0,4,0,0,0,0,21,60,0,1,0
Clarke,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,1
Clatsop,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Clay,0,0,11,2,0,0,0,0,0,0,5,6,3,0,0,0,6,0,0,0,0,23,7,0,0,0
Clayton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0
ClearCreek,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clearfield,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0
Clearwater,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cleburne,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clermont,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cleveland,0,0,0,2,0,0,0,0,0,2,4,0,4,0,0,0,0,0,0,0,0,6,21,0,0,0
Clinton,1,0,21,2,0,0,0,15,0,3,0,0,0,0,0,0,4,0,0,0,0,12,8,0,0,0
Cloud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Coahoma,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cobb,1,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Cochise,0,0,0,1,0,0,0,0,0,0,4,0,2,0,0,0,1,0,0,0,0,1,6,0,0,0
Cochran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Coconino,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
Codington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
Coffey,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,14,0,0,0,0
Coke,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colbert,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cole,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Colfax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Colleton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Collier,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Collin,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0
Colorado,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colquitt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Columbia,0,0,20,2,0,0,0,0,0,9,1,12,0,0,0,0,6,0,0,0,0,0,4,0,0,0
Columbus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,2
Colusa,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Comal,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comanche,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0
Concho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Concordia,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conejos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ContraCosta,0,0,0,0,0,0,0,5,0,19,6,0,0,0,0,0,2,4,1,0,1,0,7,0,0,0
Converse,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
Conway,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook,0,0,0,4,0,0,0,3,0,0,21,34,3,0,0,0,0,0,0,0,0,19,3,0,0,0
Cooke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0
Coos,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2
Coosa,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cottonwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,0,0,0,0
Covington,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CovingtonCity,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Coweta,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Cowley,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
Cowlitz,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Craighead,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Craven,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2
Crawford,0,0,4,0,0,0,0,2,0,0,2,4,0,0,0,0,1,0,0,0,0,4,0,0,0,1
Crockett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Crook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Crosby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
CrowWing,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culpeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Cumberland,1,0,21,0,0,0,0,7,1,10,9,0,0,0,0,0,0,0,0,0,0,14,36,0,0,2
Cuming,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,3,0,0,0,0
Currituck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Curry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
Custer,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,4,0,0,0,0,10,0,0,0,0
Cuyahoga,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,5,0,1,0,7,2,0,0,0
Daggett,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dakota,0,0,5,0,0,0,0,3,0,2,7,0,0,0,0,0,1,0,0,0,0,22,50,0,0,0
Dale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Dallas,0,0,0,0,0,0,0,3,0,2,0,0,6,0,0,0,0,0,0,0,0,6,1,0,0,1
Dane,0,0,0,0,0,0,0,0,0,3,8,0,3,0,0,0,1,0,0,2,0,22,3,0,0,0
DanvilleCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Dare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
Darke,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,6,1,0,0,0
Darlington,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,3,0,0,2
Dauphin,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Davidson,0,0,4,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0
Davie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Daviess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0
Davis,0,0,0,0,0,0,0,3,0,0,3,7,0,0,0,0,0,0,0,0,0,2,2,0,0,0
Dawson,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0
Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DeafSmith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Dearborn,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decatur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0,0,0
DeerLodge,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Defiance,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DeKalb,1,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,5,3,0,0,0
Delaware,1,0,2,0,0,0,0,0,1,11,0,0,2,0,0,0,1,0,0,0,0,7,0,0,0,0
Delta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3
Denali,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Denton,0,0,1,0,0,0,0,9,0,0,0,12,2,0,0,0,0,0,0,0,0,0,1,0,0,0
Denver,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0
Deschutes,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Desha,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DesMoines,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeSoto,1,0,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3
Deuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Dewey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
DeWitt,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,1,0,0,0,0,4,0,0,0,0
Dickens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Dickey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Dickinson,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,2
Dickson,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dillingham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
Dillon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Dinwiddie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0
DistrictofColumbia,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0
Dixon,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,5,0,0,0,0
Dodge,0,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,7,0,0,0,0,4,21,0,0,0
DonaAna,0,0,0,0,0,0,0,2,0,2,2,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0
Donley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Door,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
Dorchester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1
Dougherty,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1
Douglas,0,0,62,4,0,0,0,9,0,0,0,2,4,0,0,0,1,0,0,3,0,20,4,0,0,8
Dubois,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Dubuque,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0
Duchesne,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dukes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0
Dunklin,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0
Dunn,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
DuPage,1,0,0,0,0,0,0,2,0,2,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duplin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,40,0,0,0
Durham,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Dutchess,0,0,2,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0
Duval,1,0,0,2,0,0,0,6,0,3,9,0,2,0,0,0,0,0,0,0,0,4,6,0,0,0
Eagle,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
Early,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
EastBatonRouge,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0
Eaton,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
EauClaire,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ector,2,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0
Eddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Edgecombe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
Effingham,0,0,0,0,0,0,0,0,0,9,10,0,0,0,0,0,0,0,0,0,2,4,2,0,0,0
Elbert,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ElDorado,0,0,17,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Elk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Elkhart,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0
Elko,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ellis,0,0,0,0,0,0,0,0,0,8,0,12,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Ellsworth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Elmore,0,0,20,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,4,0,0,0
ElPaso,1,0,5,2,0,0,0,0,0,9,18,1,7,0,0,0,1,0,0,0,0,1,9,0,0,0
Emanuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Emery,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emmet,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Emmons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Erath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Erie,0,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0
Escambia,0,0,0,4,0,0,0,2,0,0,1,11,5,0,0,0,0,0,0,0,0,0,1,0,0,3
Essex,3,0,9,0,0,0,0,0,5,10,8,12,4,0,0,0,3,0,0,0,0,7,22,0,0,0
Estill,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Etowah,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Eureka,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evangeline,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FairbanksNorthStar,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
Fairfax,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fairfield,0,0,14,1,0,0,8,0,1,5,7,1,0,0,1,0,0,0,5,0,0,20,2,0,0,0
Fallon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Fannin,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Faribault,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,12,1,0,0,0
Faulk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Fauquier,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fayette,0,0,16,3,0,0,0,0,0,3,9,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
Fillmore,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,6,0,0,0,0
Finney,0,0,0,1,0,0,0,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Fisher,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Flathead,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Florence,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3
Floyd,0,0,0,2,0,0,3,0,0,0,2,0,0,0,0,0,6,0,0,0,0,3,0,0,0,4
Fluvanna,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Foard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FondDuLac,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Ford,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0
Forrest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Forsyth,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
FortBend,0,0,0,4,0,0,0,0,0,3,2,3,4,0,0,0,0,0,0,0,0,0,1,0,0,0
Franklin,0,0,74,4,0,0,4,54,0,2,6,15,1,0,0,0,9,0,0,0,0,9,36,0,0,5
Frederick,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Freeborn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0
Freestone,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fremont,0,0,14,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fresno,3,0,34,0,0,0,4,0,0,6,22,0,0,0,0,0,0,0,0,0,0,3,56,0,0,2
Frio,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontier,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fulton,1,0,13,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,1,0,0,35,13,0,0,2
Furnas,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Gadsden,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gage,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gallia,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galveston,2,0,0,0,0,0,0,0,0,12,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garfield,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,4,6,0,0,0
Garland,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garrett,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0
Gaston,0,0,4,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,0,0
Gates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
