State,County,Abbreviation,Max AQI,90th Percentile AQI,Median AQI,"Percent of adults with a high school diploma only, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19",# Employed,# Unemployed
Alabama,Baldwin,AlabamaBaldwin,74,49,36,27.7,31.9,91338,5425
Alabama,Russell,AlabamaRussell,99,56,36,31.4,17.8,22290,1210
Alabama,Shelby,AlabamaShelby,71,46,28,19.8,42.9,109646,4402
Alabama,Sumter,AlabamaSumter,70,43,29,35.4,21.6,4414,331
Alabama,Tuscaloosa,AlabamaTuscaloosa,97,45,31,29.9,30.7,95473,6749
Alaska,Denali ,AlaskaDenali,54,42,33,26,41.1,573,107
Alaska,Fairbanks North Star ,AlaskaFairbanks,170,106,33,22.6,31.4,41838,2841
Alaska,Juneau ,AlaskaJuneau,101,40,14,21.6,38.4,15293,1081
Alaska,Kenai Peninsula ,AlaskaKenai,43,15,8,31.2,24.6,23948,2393
Alaska,Matanuska-Susitna ,AlaskaMatanuska-Susitna,103,45,14,33.1,21.6,43858,3990
Alaska,North Slope ,AlaskaNorth,36,12,5,43,16.5,3011,189
Arizona,Apache,ArizonaApache,58,29,14,32.2,12.3,17614,2581
Arizona,Cochise,ArizonaCochise,108,61,45,24.1,23.1,48368,3627
Arizona,Coconino,ArizonaCoconino,93,54,44,22,36.2,67985,7295
Arizona,Gila,ArizonaGila,174,77,47,27.9,18.7,19387,1621
Arizona,La Paz,ArizonaLa,125,58,44,31.1,12,8343,636
Arizona,Maricopa,ArizonaMaricopa,282,215,112,22.4,32.7,2159267,172361
Arizona,Mohave,ArizonaMohave,116,34,18,35.3,12.9,79889,8854
Arizona,Navajo,ArizonaNavajo,136,54,43,30.3,15.3,36322,4097
Arizona,Pima,ArizonaPima,277,77,53,22.2,32.4,457683,38308
Arizona,Pinal,ArizonaPinal,1124,119,72,29.3,19.5,176674,14400
Arizona,Santa Cruz,ArizonaSanta,165,69,34,28.7,20.4,17209,2220
Arizona,Yavapai,ArizonaYavapai,119,61,45,25.8,25.9,98978,8007
Arizona,Yuma,ArizonaYuma,321,69,44,25.7,15,81310,16810
Arkansas,Arkansas,ArkansasArkansas,82,50,27,34,23,1272344,81952
Arkansas,Arkansas,ArkansasArkansas,82,50,27,34,23,9044,378
Arkansas,Ashley,ArkansasAshley,89,49,28,43.7,12.3,6518,668
Arkansas,Clark,ArkansasClark,67,40,29,30.2,26.6,8765,549
Arkansas,Crittenden,ArkansasCrittenden,115,54,38,34.8,17.4,19459,1750
Arkansas,Garland,ArkansasGarland,83,53,29,31.4,21.6,38052,3295
Arkansas,Jackson,ArkansasJackson,77,51,26,42.5,10.1,5444,419
Arkansas,Newton,ArkansasNewton,84,45,35,35.4,20.5,3084,162
Arkansas,Polk,ArkansasPolk,84,47,36,36.5,14.1,7482,531
Arkansas,Pulaski,ArkansasPulaski,132,59,42,26,34.3,174884,14044
Arkansas,Union,ArkansasUnion,89,52,34,35.5,21.1,14325,1297
Arkansas,Washington,ArkansasWashington,150,52,39,25.7,33.3,120346,5795
California,Alameda,CaliforniaAlameda,218,79,43,17.6,47.4,742411,71396
California,Amador,CaliforniaAmador,156,50,37,27.5,19.3,13107,1317
California,Butte,CaliforniaButte,379,110,51,22.5,27.2,84095,8509
California,Calaveras,CaliforniaCalaveras,192,77,44,28,18.3,19588,1619
California,Colusa,CaliforniaColusa,198,86,38,26.2,15,8824,1675
California,Contra Costa,CaliforniaContra,197,74,41,17.3,42.4,493236,48020
California,Del Norte,CaliforniaDel,220,55,32,31,14.8,8466,884
California,El Dorado,CaliforniaEl,190,90,43,21.3,34.3,83262,7490
California,Fresno,CaliforniaFresno,298,153,74,22.7,21.2,395258,50260
California,Glenn,CaliforniaGlenn,197,82,43,27.2,14.2,11455,1113
California,Humboldt,CaliforniaHumboldt,109,44,29,22.2,30.4,54446,4965
California,Imperial,CaliforniaImperial,166,97,58,24.3,15.2,53949,15653
California,Inyo,CaliforniaInyo,684,130,52,28.6,27.2,7658,647
California,Kern,CaliforniaKern,267,140,81,27.8,16.4,335707,48062
California,Kings,CaliforniaKings,543,124,67,25.3,14.7,49883,6533
California,Lake,CaliforniaLake,180,43,32,30.5,15.5,25567,2700
California,Los Angeles,CaliforniaLos,235,165,83,20.6,32.5,4291688,629811
California,Madera,CaliforniaMadera,250,113,61,24.9,14.6,55089,6649
California,Marin,CaliforniaMarin,206,57,33,10.5,59.5,121476,8662
California,Mariposa,CaliforniaMariposa,618,111,47,24.4,24.6,6381,781
California,Mendocino,CaliforniaMendocino,456,76,34,25,24.4,33723,3292
California,Merced,CaliforniaMerced,183,95,53,25.3,13.8,100755,13981
California,Mono,CaliforniaMono,1928,199,40,24.2,28.8,6917,929
California,Monterey,CaliforniaMonterey,250,63,36,20.3,24.7,190389,23082
California,Napa,CaliforniaNapa,199,62,36,17.8,35.7,62853,6014
California,Nevada,CaliforniaNevada,252,90,41,18.4,37.2,42787,3702
California,Orange,CaliforniaOrange,218,108,51,17.2,40.6,1416738,136563
California,Placer,CaliforniaPlacer,222,108,54,18,39.7,171319,13573
California,Plumas,CaliforniaPlumas,469,146,49,26.1,23.7,6753,806
California,Riverside,CaliforniaRiverside,576,159,87,26.9,22.3,997725,109998
California,Sacramento,CaliforniaSacramento,200,100,52,22.4,30.9,641624,65558
California,Shasta,CaliforniaShasta,166,64,41,25.4,22.2,66484,6343
California,Siskiyou,CaliforniaSiskiyou,359,61,36,25.5,23.2,15286,1637
California,Solano,CaliforniaSolano,204,76,41,23.8,26.9,183607,19205
California,Sonoma,CaliforniaSonoma,187,53,33,18.7,35.5,225791,19300
California,Stanislaus,CaliforniaStanislaus,189,102,55,29.3,17.1,214885,25756
California,Sutter,CaliforniaSutter,303,89,48,23.3,18.2,40472,4995
California,Tehama,CaliforniaTehama,196,93,43,30.1,15.7,23317,2262
California,Trinity,CaliforniaTrinity,193,79,27,34.8,19.5,4155,360
California,Tulare,CaliforniaTulare,209,145,79,25.5,14.6,172852,26299
California,Tuolumne,CaliforniaTuolumne,143,64,41,28.3,20.5,17954,2084
California,Ventura,CaliforniaVentura,174,90,47,19.2,33.8,373903,34964
California,Yolo,CaliforniaYolo,192,84,42,18.1,41.4,97111,7915
Colorado,Adams,ColoradoAdams,151,72,47,28.6,24.3,252469,22029
Colorado,Alamosa,ColoradoAlamosa,60,30,11,28.5,25,7868,535
Colorado,Arapahoe,ColoradoArapahoe,159,76,45,20.8,42.8,337943,28825
Colorado,Archuleta,ColoradoArchuleta,93,58,43,21,37.2,6585,538
Colorado,Boulder,ColoradoBoulder,173,84,47,11.7,62.1,180992,11887
Colorado,Clear Creek,ColoradoClear,143,71,47,21.9,48.1,5628,523
Colorado,Delta,ColoradoDelta,97,51,41,38.3,21.7,13400,940
Colorado,Denver,ColoradoDenver,150,80,50,16.8,49.4,388924,34900
Colorado,Douglas,ColoradoDouglas,159,80,46,12,58,183412,11237
Colorado,El Paso,ColoradoEl,151,74,45,20.4,38.5,319084,25036
Colorado,Fremont,ColoradoFremont,27,20,11,39.3,18.5,14203,1190
Colorado,Garfield,ColoradoGarfield,122,74,46,27,31,29606,2156
Colorado,Gilpin,ColoradoGilpin,136,67,45,21.4,39.6,3562,454
Colorado,Gunnison,ColoradoGunnison,108,54,44,15.9,56.2,10596,751
Colorado,Jackson,ColoradoJackson,84,46,8,28.1,20,900,40
Colorado,Jefferson,ColoradoJefferson,161,90,46,20.3,45.2,310057,23625
Colorado,La Plata,ColoradoLa,101,61,44,20,44.2,29219,2147
Colorado,Larimer,ColoradoLarimer,157,87,48,19,47.3,190842,12841
Colorado,Mesa,ColoradoMesa,108,58,44,27.6,28.2,69917,5634
Colorado,Montezuma,ColoradoMontezuma,126,58,44,29.3,29.6,11795,908
Colorado,Pitkin,ColoradoPitkin,68,33,12,17,60.8,10077,1176
Colorado,Prowers,ColoradoProwers,238,42,17,26.1,18.3,5937,276
Colorado,Pueblo,ColoradoPueblo,63,45,19,29.1,21.8,71037,6318
Colorado,Rio Blanco,ColoradoRio,115,54,42,31.5,22.7,2789,160
Colorado,Rio Blanco,ColoradoRio,115,54,42,31.5,22.7,5068,385
Colorado,Routt,ColoradoRoutt,68,29,14,20.2,49.8,14929,1277
Colorado,Weld,ColoradoWeld,140,82,48,27.3,27.5,155042,11624
Connecticut,Fairfield,ConnecticutFairfield,161,80,44,21.5,47.9,429164,37044
Connecticut,Hartford,ConnecticutHartford,98,55,39,26.6,38.1,437433,38682
Connecticut,Litchfield,ConnecticutLitchfield,84,50,38,29.9,35.4,95102,7007
Connecticut,Middlesex,ConnecticutMiddlesex,129,54,39,25.8,42.2,86211,6010
Connecticut,New Haven,ConnecticutNew,174,77,42,30.7,35,420669,36502
Connecticut,New Haven,ConnecticutNew,174,77,42,30.7,35,119313,12679
Connecticut,Tolland,ConnecticutTolland,93,48,39,27,41.8,79362,5236
Connecticut,Windham,ConnecticutWindham,87,44,35,33.2,24.3,57369,4849
Delaware,Kent,DelawareKent,80,48,36,32.9,23.7,72843,6872
Delaware,New Castle,DelawareNew,105,58,40,30.8,36.2,275601,23039
Delaware,Sussex,DelawareSussex,87,51,38,31.2,28.3,98014,7990
Florida,Alachua,FloridaAlachua,105,52,36,21.2,43.3,127696,7235
Florida,Baker,FloridaBaker,140,49,35,42.6,13.2,11179,580
Florida,Bay,FloridaBay,146,58,40,31,23.7,77746,5017
Florida,Brevard,FloridaBrevard,84,52,39,28.3,30.2,262867,18724
Florida,Broward,FloridaBroward,142,57,40,27.3,32.4,930297,90289
Florida,Citrus,FloridaCitrus,125,54,32,37.2,18.3,42582,3918
Florida,Collier,FloridaCollier,85,54,36,25.8,36.4,165287,12210
Florida,Columbia,FloridaColumbia,158,56,36,36.7,14.9,27840,1726
Florida,Duval,FloridaDuval,125,59,42,27.8,30,452481,32633
Florida,Escambia,FloridaEscambia,80,58,42,27.2,26.5,135108,9671
Florida,Flagler,FloridaFlagler,64,43,31,34.3,25.1,43083,3553
Florida,Hamilton,FloridaHamilton,154,52,33,45.4,7.9,3880,319
Florida,Highlands,FloridaHighlands,74,44,31,38.8,17.2,31967,2674
Florida,Hillsborough,FloridaHillsborough,112,61,43,27.1,33.5,700764,53788
Florida,Holmes,FloridaHolmes,138,54,38,40.7,10.7,6472,378
Florida,Indian River,FloridaIndian,87,47,37,30.4,29.1,59482,4751
Florida,Lake,FloridaLake,87,45,32,32.1,24,140383,13645
Florida,Lee,FloridaLee,100,50,36,31,28.2,320161,25256
Florida,Leon,FloridaLeon,160,58,40,19,46.2,141883,8743
Florida,Liberty,FloridaLiberty,51,44,31,45.8,14.4,2473,125
Florida,Manatee,FloridaManatee,97,44,33,30.1,29.8,164571,11925
Florida,Marion,FloridaMarion,100,55,39,36.9,20.1,128709,9760
Florida,Martin,FloridaMartin,95,52,36,24.9,34.1,67796,4384
Florida,Miami-Dade,FloridaMiami-Dade,90,58,39,27.3,29.8,1188173,103681
Florida,Nassau,FloridaNassau,157,34,4,31.7,29.6,38991,2347
Florida,Okaloosa,FloridaOkaloosa,74,46,34,24.7,31.1,90729,5281
Florida,Orange,FloridaOrange,93,51,36,24.4,34.6,659050,78496
Florida,Osceola,FloridaOsceola,90,44,32,31.3,21.8,160638,25155
Florida,Palm Beach,FloridaPalm,92,54,38,24,36.7,662945,54434
Florida,Pasco,FloridaPasco,77,46,35,33.2,24,221185,17142
Florida,Pinellas,FloridaPinellas,100,56,40,28,31.7,450266,34064
Florida,Polk,FloridaPolk,87,54,37,34.7,20.2,287979,28647
Florida,Putnam,FloridaPutnam,67,27,14,41.2,12.3,24378,2092
Florida,Santa Rosa,FloridaSanta,84,57,40,26.8,27.7,78348,4299
Florida,Sarasota,FloridaSarasota,90,55,38,28.9,35.4,171875,12589
Florida,Seminole,FloridaSeminole,84,49,36,21.1,39.6,220602,17167
Florida,St. Lucie,FloridaSt.,74,44,33,21.4,44.7,126772,7071
Florida,St. Lucie,FloridaSt.,74,44,33,21.4,44.7,134060,11303
Florida,Volusia,FloridaVolusia,77,50,38,31.8,23.7,230585,18975
Florida,Wakulla,FloridaWakulla,161,54,35,36.2,18.3,14216,669
Georgia,Bibb,GeorgiaBibb,97,52,35,30.5,25.4,62371,5050
Georgia,Charlton,GeorgiaCharlton,139,34,20,40.1,8.8,4660,182
Georgia,Chatham,GeorgiaChatham,131,58,39,24.2,33.6,129918,10713
Georgia,Chattooga,GeorgiaChattooga,58,43,32,40.1,8.9,8947,820
Georgia,Clarke,GeorgiaClarke,99,54,36,19.9,44,54453,3753
Georgia,Clayton,GeorgiaClayton,90,54,28,33.6,19.5,125357,14433
Georgia,Cobb,GeorgiaCobb,90,49,35,18.5,47.4,389904,24453
Georgia,Coffee,GeorgiaCoffee,108,42,25,37.2,13,17835,1103
Georgia,Columbia,GeorgiaColumbia,51,44,31,23.8,36.4,71266,3145
Georgia,Dawson,GeorgiaDawson,74,43,31,29.1,30.6,11735,584
Georgia,DeKalb,GeorgiaDeKalb,106,57,38,20.9,44.2,364209,31474
Georgia,Dougherty,GeorgiaDougherty,114,61,37,30.2,21.4,34469,3243
Georgia,Douglas,GeorgiaDouglas,77,44,32,30.4,28.2,66930,5367
Georgia,Floyd,GeorgiaFloyd,80,52,30,34.3,20.9,40522,2712
Georgia,Fulton,GeorgiaFulton,125,62,43,17.7,52.9,512593,44639
Georgia,Glynn,GeorgiaGlynn,96,44,31,26.7,29.9,35610,2605
Georgia,Gwinnett,GeorgiaGwinnett,101,55,37,22.3,36.9,450909,30544
Georgia,Hall,GeorgiaHall,98,55,33,27.7,24.5,97133,4816
Georgia,Henry,GeorgiaHenry,95,50,32,31.7,28.5,106831,8521
Georgia,Houston,GeorgiaHouston,114,57,35,27,28.3,66769,3649
Georgia,Lowndes,GeorgiaLowndes,141,54,30,31.4,25.3,48484,3115
Georgia,Murray,GeorgiaMurray,61,46,35,37.4,10.1,14191,1159
Georgia,Muscogee,GeorgiaMuscogee,101,53,35,27.4,25.8,71209,6049
Georgia,Pike,GeorgiaPike,64,44,33,41.8,17.1,8273,432
Georgia,Richmond,GeorgiaRichmond,114,60,42,31.4,21.4,78649,6463
Georgia,Rockdale,GeorgiaRockdale,77,46,34,31.5,26.3,40657,3332
Georgia,Sumter,GeorgiaSumter,64,44,32,34.7,18.3,11601,924
Georgia,Walker,GeorgiaWalker,84,53,30,35.2,16.6,29106,1495
Georgia,Washington,GeorgiaWashington,112,54,32,44.7,12.3,6486,445
Hawaii,Hawaii,HawaiiHawaii,231,30,18,27.4,33,572796,75395
Hawaii,Hawaii,HawaiiHawaii,231,30,18,27.4,33,78986,10133
Hawaii,Honolulu,HawaiiHonolulu,92,40,26,25.9,35,396136,44779
Hawaii,Kauai,HawaiiKauai,41,25,11,30,29.2,29618,5719
Hawaii,Maui,HawaiiMaui,56,23,15,31.3,27.2,68056,14764
Idaho,Ada,IdahoAda,185,72,40,22.4,38.5,243784,13893
Idaho,Bannock,IdahoBannock,161,61,41,26.4,27.8,40495,2065
Idaho,Benewah,IdahoBenewah,371,65,32,38.4,15.2,3830,310
Idaho,Blaine,IdahoBlaine,167,43,15,25.6,35.4,11679,987
Idaho,Boise,IdahoBoise,198,68,35,30.6,27.1,3321,288
Idaho,Bonner,IdahoBonner,190,52,25,29.8,23.8,19527,1592
Idaho,Bonneville,IdahoBonneville,154,49,21,25.4,31.3,55789,2347
Idaho,Butte,IdahoButte,152,50,40,36,16.2,1343,50
Idaho,Canyon,IdahoCanyon,156,73,33,32.1,18.7,99763,6218
Idaho,Caribou,IdahoCaribou,109,24,6,32.4,19,3962,148
Idaho,Custer,IdahoCuster,126,59,5,28.6,24.4,2106,112
Idaho,Franklin,IdahoFranklin,159,53,20,37.8,17.7,6807,253
Idaho,Idaho,IdahoIdaho,191,60,36,27.4,27.6,844365,47786
Idaho,Idaho,IdahoIdaho,191,60,36,27.4,27.6,6260,449
Idaho,Jerome,IdahoJerome,37,19,10,30.6,16.1,11711,487
Idaho,Kootenai,IdahoKootenai,384,48,19,27.2,25.2,75654,5632
Idaho,Latah,IdahoLatah,333,41,16,19.7,45.4,18818,938
Idaho,Lemhi,IdahoLemhi,163,77,35,30.3,22.9,3408,243
Idaho,Nez Perce,IdahoNez,363,59,21,32.1,22.9,19780,1013
Idaho,Shoshone,IdahoShoshone,346,64,30,37,11.5,4946,498
Idaho,Twin Falls,IdahoTwin,160,48,18,27.2,20.6,39083,2167
Idaho,Valley,IdahoValley,192,63,30,26.7,30.4,5195,448
Illinois,Adams,IllinoisAdams,84,50,38,35.4,25,29287,1972
Illinois,Champaign,IllinoisChampaign,126,56,39,22,45,101732,6993
Illinois,Clark,IllinoisClark,97,45,31,40,19.9,6752,579
Illinois,Cook,IllinoisCook,164,84,53,23.1,38.8,2258453,281454
Illinois,DuPage,IllinoisDuPage,154,59,41,18.2,49.4,445824,38391
Illinois,Effingham,IllinoisEffingham,84,48,37,35.8,22.7,17988,1277
Illinois,Hamilton,IllinoisHamilton,118,56,40,34.9,17,3944,281
Illinois,Jersey,IllinoisJersey,112,55,39,38.8,20.3,9883,795
Illinois,Jo Daviess,IllinoisJo,87,44,32,35.9,25,9560,866
Illinois,Kane,IllinoisKane,161,64,39,22.7,33.1,237738,23911
Illinois,Lake,IllinoisLake,185,74,39,20.8,45.3,335133,29411
Illinois,Macon,IllinoisMacon,90,56,41,35.4,22.1,42512,4665
Illinois,Macoupin,IllinoisMacoupin,93,45,31,39.8,18.4,20596,1523
Illinois,Madison,IllinoisMadison,112,70,47,29.8,26.8,121270,10182
Illinois,McHenry,IllinoisMcHenry,147,58,40,26.5,34.4,145249,13157
Illinois,McLean,IllinoisMcLean,136,58,41,24.6,44.8,79341,5762
Illinois,Monroe,IllinoisMonroe,43,7,1,27.6,35,17363,1023
Illinois,Peoria,IllinoisPeoria,115,57,40,27.6,30.6,75016,8668
Illinois,Randolph,IllinoisRandolph,103,54,38,37.3,13.3,12786,978
Illinois,Rock Island,IllinoisRock,102,56,38,29.5,23.5,62443,6472
Illinois,Sangamon,IllinoisSangamon,97,54,39,27.2,34.5,88916,7953
Illinois,Tazewell,IllinoisTazewell,26,9,1,31.7,26.3,56948,5029
Illinois,Wabash,IllinoisWabash,74,17,1,30.7,18.2,5242,476
Illinois,Will,IllinoisWill,155,60,42,26.9,34.3,311763,32572
Illinois,Winnebago,IllinoisWinnebago,101,61,39,31.7,22.9,120253,15506
Indiana,Allen,IndianaAllen,120,58,39,28.2,28.5,170783,14203
Indiana,Bartholomew,IndianaBartholomew,97,52,37,30.8,33.5,40975,2827
Indiana,Boone,IndianaBoone,101,48,32,19.5,49.3,34064,1522
Indiana,Brown,IndianaBrown,80,44,33,32.9,28.9,7062,506
Indiana,Carroll,IndianaCarroll,100,44,31,40.8,16.7,9076,583
Indiana,Clark,IndianaClark,91,58,42,34.6,21.2,56726,4412
Indiana,Daviess,IndianaDaviess,19,4,0,34,13.2,15891,632
Indiana,Delaware,IndianaDelaware,97,50,35,35.1,23.7,48633,3833
Indiana,Dubois,IndianaDubois,67,54,33,38.3,23.7,21569,1026
Indiana,Elkhart,IndianaElkhart,158,54,36,34.7,19.8,102155,8339
Indiana,Floyd,IndianaFloyd,143,44,32,30.9,29.6,38422,2671
Indiana,Gibson,IndianaGibson,114,26,3,40.9,18,18332,1205
Indiana,Greene,IndianaGreene,90,50,34,41.1,14.9,12442,822
Indiana,Hamilton,IndianaHamilton,97,54,38,14.9,59.3,174455,8524
Indiana,Hendricks,IndianaHendricks,87,45,32,27.5,37,84885,4501
Indiana,Henry,IndianaHenry,63,51,29,43.7,16.4,20424,1442
Indiana,Howard,IndianaHoward,108,53,38,35.9,21.6,32921,4010
Indiana,Knox,IndianaKnox,105,48,33,35.8,16.9,17148,1080
Indiana,LaPorte,IndianaLaPorte,154,61,37,39.6,18,42924,4520
Indiana,Lake,IndianaLake,136,65,44,35.1,22.6,201989,23196
Indiana,Madison,IndianaMadison,97,55,39,39.4,18.4,54137,4621
Indiana,Marion,IndianaMarion,144,68,48,28,30.9,456145,38918
Indiana,Monroe,IndianaMonroe,69,51,31,22.2,45.7,64390,3765
Indiana,Perry,IndianaPerry,105,45,34,44.7,16.1,8495,594
Indiana,Porter,IndianaPorter,151,67,41,35,28.4,77220,6767
Indiana,Posey,IndianaPosey,112,45,31,38.2,21.9,12202,632
Indiana,Shelby,IndianaShelby,115,46,32,42.4,18.7,21443,1643
Indiana,Spencer,IndianaSpencer,63,53,32,46,15.2,9754,579
Indiana,St. Joseph,IndianaSt.,162,62,41,30.7,29.6,122197,11188
Indiana,Sullivan,IndianaSullivan,53,51,29,44.2,12.1,7352,551
Indiana,Tippecanoe,IndianaTippecanoe,69,56,39,25.4,38.7,88211,5936
Indiana,Vanderburgh,IndianaVanderburgh,101,57,39,32.5,27,85014,6559
Indiana,Vigo,IndianaVigo,112,57,40,32,25.1,42198,3616
Indiana,Wabash,IndianaWabash,97,49,35,42.6,18.1,13615,884
Indiana,Warrick,IndianaWarrick,112,47,33,31.3,30.3,29930,1724
Indiana,Whitley,IndianaWhitley,76,56,39,39.2,20.7,16139,1016
Iowa,Black Hawk,IowaBlack,91,53,32,30.5,29.1,63173,4145
Iowa,Bremer,IowaBremer,87,45,35,32.9,30.7,12967,533
Iowa,Cerro Gordo,IowaCerro,60,37,18,30.6,23.6,21893,1203
Iowa,Clinton,IowaClinton,87,56,37,38.8,17.9,20509,1480
Iowa,Harrison,IowaHarrison,87,49,37,37.2,19.5,6776,284
Iowa,Johnson,IowaJohnson,105,58,35,16.3,52.8,80056,4032
Iowa,Lee,IowaLee,73,52,30,40.8,16.4,14666,1027
Iowa,Linn,IowaLinn,105,60,40,27,33.1,111300,7553
Iowa,Montgomery,IowaMontgomery,76,51,35,35.2,18.5,4621,226
Iowa,Muscatine,IowaMuscatine,124,54,30,35.3,21.5,19796,1257
Iowa,Palo Alto,IowaPalo,87,51,36,29.2,25.5,4330,210
Iowa,Polk,IowaPolk,186,54,36,24.5,36.7,248931,15876
Iowa,Pottawattamie,IowaPottawattamie,77,52,31,32.7,21.5,44771,2478
Iowa,Scott,IowaScott,155,63,44,29.6,31.8,80541,5862
Iowa,Van Buren,IowaVan,87,49,36,38.9,14.4,3497,170
Iowa,Woodbury,IowaWoodbury,79,50,29,32.2,23.1,51606,2861
Kansas,Chase,KansasChase,58,38,18,29.1,25.5,1384,81
Kansas,Ford,KansasFord,79,29,11,25.3,17.7,16640,584
Kansas,Johnson,KansasJohnson,117,56,36,14.5,56,324544,17602
Kansas,Leavenworth,KansasLeavenworth,77,44,32,28.3,31.5,34611,2135
Kansas,Neosho,KansasNeosho,106,54,39,32.5,18.1,5845,401
Kansas,Sedgwick,KansasSedgwick,114,54,38,26.3,30.9,234769,22448
Kansas,Shawnee,KansasShawnee,169,58,39,31.4,30.9,85910,5433
Kansas,Sherman,KansasSherman,106,44,13,30.3,21.8,2795,99
Kansas,Sumner,KansasSumner,117,59,40,34.9,23.3,10126,891
Kansas,Trego,KansasTrego,147,51,37,31.1,24.8,1419,51
Kansas,Wyandotte,KansasWyandotte,116,63,44,32.1,18.1,72303,6089
Kentucky,Bell,KentuckyBell,71,46,33,38.5,9.2,7606,642
Kentucky,Boone,KentuckyBoone,87,50,36,27.5,32.1,66280,3791
Kentucky,Boyd,KentuckyBoyd,88,51,36,33.9,19.4,16086,1465
Kentucky,Bullitt,KentuckyBullitt,115,48,37,41.6,14.7,39359,2672
Kentucky,Campbell,KentuckyCampbell,93,54,39,28.2,36.3,46886,2761
Kentucky,Carter,KentuckyCarter,59,44,31,40.3,12.6,8663,923
Kentucky,Christian,KentuckyChristian,83,51,38,31,18.1,22662,1925
Kentucky,Daviess,KentuckyDaviess,105,54,38,34.1,22.9,42911,2799
Kentucky,Edmonson,KentuckyEdmonson,64,45,33,39.3,10.3,4247,352
Kentucky,Fayette,KentuckyFayette,84,51,38,19.6,43.6,162405,9879
Kentucky,Greenup,KentuckyGreenup,61,42,28,36,17.1,12064,1174
Kentucky,Hancock,KentuckyHancock,97,47,37,43.4,11.4,3575,233
Kentucky,Hardin,KentuckyHardin,80,51,38,30.4,22,44196,3385
Kentucky,Henderson,KentuckyHenderson,114,44,1,36,18.2,19643,1278
Kentucky,Jefferson,KentuckyJefferson,115,61,45,26.7,33.4,363770,26717
Kentucky,Jessamine,KentuckyJessamine,77,44,31,30.5,29.5,24689,1471
Kentucky,Livingston,KentuckyLivingston,105,47,37,43.6,11.8,3268,266
Kentucky,McCracken,KentuckyMcCracken,111,57,39,31.4,24.2,26435,2051
Kentucky,Morgan,KentuckyMorgan,64,44,33,41.4,12.5,4052,300
Kentucky,Oldham,KentuckyOldham,97,49,38,20.7,42.4,30867,1571
Kentucky,Perry,KentuckyPerry,99,48,34,33,14.4,7453,728
Kentucky,Pike,KentuckyPike,92,45,32,39.4,13,17574,1622
Kentucky,Pulaski,KentuckyPulaski,77,48,36,35.7,16.5,23907,1888
Kentucky,Simpson,KentuckySimpson,67,46,36,44.9,14.2,7979,617
Kentucky,Trigg,KentuckyTrigg,84,45,34,33.2,16.6,5611,419
Kentucky,Warren,KentuckyWarren,97,53,38,26.6,32.2,59108,4148
Kentucky,Washington,KentuckyWashington,77,46,34,42.4,18.8,5718,381
Louisiana,Ascension,LouisianaAscension,100,46,31,32.3,26.4,59807,4329
Louisiana,Bossier,LouisianaBossier,105,53,36,29.7,25.2,53138,3612
Louisiana,Caddo,LouisianaCaddo,126,49,34,33.7,23.5,93384,9231
Louisiana,Calcasieu,LouisianaCalcasieu,116,61,41,34.1,22.3,89236,8874
